ROOT Styles Loaded from rootlogon.
Beginning new ROOT session.


Processing ALLDrawDist.C...
18.55   18.65
1.1361   756238
18.6905  7.62292e+06   7.77836e+06
18.6912  1.21362e+07   1.23656e+07
18.7278  1.11234e+07   1.04872e+07
18.7294  1.30524e+07   1.22627e+07
18.6796  1.12603e+07   1.17592e+07
18.721  8.99862e+06   8.60596e+06
18.7047  1.74349e+07   1.72605e+07
18.7  9.76174e+06   9.76122e+06
18.7282  1.05146e+07   9.90451e+06
18.6898  4.91292e+06   5.02045e+06
18.6711  7.95701e+06   8.4601e+06
18.6668  1.07596e+07   1.15453e+07
18.686  9.17605e+06   9.4526e+06
18.7217  1.53416e+07   1.46506e+07
18.688  1.04725e+07   1.07413e+07
18.6619  1.25479e+07   1.36035e+07
18.6726  8.70043e+06   9.22041e+06
18.6681  1.68453e+07   1.80238e+07
18.6703  7.95505e+06   8.47306e+06
18.6712  8.41588e+06   8.94519e+06
18.6731  8.98632e+06   9.51415e+06
18.7044  9.73981e+06   9.64965e+06
18.7258  1.41733e+07   1.34172e+07
18.7295  6.24389e+06   5.8648e+06
18.6994  1.19447e+07   1.1961e+07
18.6675  7.46444e+06   7.99703e+06
18.7302  1.25376e+07   1.17596e+07
18.6767  9.29262e+06   9.76262e+06
18.6767  7.39482e+06   7.76883e+06
18.6827  1.11019e+07   1.1516e+07
18.6815  1.26443e+07   1.31492e+07
18.6844  9.11723e+06   9.4242e+06
18.6729  8.7113e+06   9.22715e+06
18.6912  1.22004e+07   1.24296e+07
18.6999  1.4345e+07   1.4349e+07
18.7351  2.48057e+07   2.30247e+07
18.7323  2.07515e+07   1.9377e+07
18.6586  8.44422e+06   9.21877e+06
18.682  1.1756e+07   1.22129e+07
18.7002  7.1623e+06   7.15867e+06
18.7308  1.20691e+07   1.13067e+07
18.6577  1.03643e+07   1.1338e+07
18.7091  9.79034e+06   9.60382e+06
18.7074  1.49023e+07   1.4669e+07
18.6919  1.59904e+07   1.62664e+07
18.7071  1.37147e+07   1.35086e+07
18.7336  1.2949e+07   1.20594e+07
18.6824  8.31785e+06   8.63345e+06
18.6876  1.36048e+07   1.3967e+07
18.6553  1.10437e+07   1.21405e+07
18.6524  6.12252e+06   6.77259e+06
18.7246  1.30728e+07   1.24075e+07
18.733  1.41575e+07   1.31992e+07
18.6564  7.55328e+06   8.28489e+06
18.6967  1.50738e+07   1.51788e+07
18.6628  1.21254e+07   1.31206e+07
18.658  6.34981e+06   6.94168e+06
18.7254  1.04791e+07   9.92891e+06
18.7158  1.79393e+07   1.73464e+07
18.6975  1.78192e+07   1.79129e+07
18.7471  1.26845e+07   1.14778e+07
18.6527  1.15026e+07   1.27168e+07
18.6797  1.51163e+07   1.57828e+07
18.7012  6.80406e+06   6.78614e+06
18.6921  1.36163e+07   1.38469e+07
18.7113  1.27901e+07   1.24872e+07
18.6571  1.17377e+07   1.28559e+07
18.6596  1.55795e+07   1.69739e+07
18.7162  1.46247e+07   1.41302e+07
18.7036  1.16837e+07   1.1594e+07
18.733  1.51651e+07   1.41389e+07
18.723  1.40515e+07   1.33836e+07
18.6689  1.50465e+07   1.60729e+07
18.6567  1.15222e+07   1.263e+07
18.694  3.88899e+07   3.93903e+07
18.7012  1.53299e+07   1.52907e+07
18.6996  1.49662e+07   1.49799e+07
18.7109  8.83232e+06   8.63012e+06
18.6916  1.4323e+07   1.45793e+07
18.7068  1.11817e+07   1.10217e+07
18.676  9.89817e+06   1.0414e+07
18.7353  1.08509e+07   1.00688e+07
18.7082  9.6949e+06   9.52806e+06
18.6848  1.41239e+07   1.45856e+07
18.7051  1.31207e+07   1.29787e+07
18.7334  1.84974e+07   1.72323e+07
18.7415  1.56104e+07   1.42967e+07
18.6657  5.29082e+06   5.69041e+06
18.6539  1.29945e+07   1.43292e+07
18.7063  9.99977e+06   9.86723e+06
18.6842  1.42812e+07   1.47663e+07
18.6647  3.45751e+06   3.72646e+06
18.6768  9.77715e+06   1.02696e+07
18.6876  7.09062e+06   7.27967e+06
18.6687  1.26129e+07   1.34797e+07
18.7202  4.12168e+06   3.94909e+06
18.7335  1.64133e+07   1.52866e+07
18.686  1.2647e+07   1.30268e+07
18.6669  1.20596e+07   1.29377e+07
18.693  8.65329e+06   8.78186e+06
18.6998  1.13715e+07   1.13771e+07
18.6803  1.33461e+07   1.39153e+07
18.6834  1.9208e+07   1.98942e+07
18.7051  7.83788e+06   7.7533e+06
18.714  4.4614e+06   4.33115e+06
18.6501  9.08631e+06   1.01e+07
18.6903  8.79356e+06   8.97713e+06
18.725  2.75032e+06   2.6082e+06
18.6755  1.0838e+07   1.14152e+07
18.7178  2.0087e+07   1.93438e+07
18.7336  1.56848e+07   1.46068e+07
18.7396  1.23246e+07   1.13308e+07
18.7419  1.84292e+07   1.68609e+07
18.6589  2.43386e+07   2.6557e+07
18.6807  1.54142e+07   1.60592e+07

18.7  140
1.17233e+07  1.18391e+07
4.44958e+06  4.39397e+06
18.75   18.85
1.10812   1.5393e+06
18.7924  8.03405e+06   8.16423e+06
18.8246  8.37959e+06   7.95429e+06
18.775  1.65548e+07   1.74546e+07
18.7936  1.45146e+07   1.47138e+07
18.8375  1.79673e+07   1.65926e+07
18.7706  1.25624e+07   1.33707e+07
18.7761  1.48153e+07   1.55857e+07
18.7942  1.41387e+07   1.43137e+07
18.799  1.20581e+07   1.20847e+07
18.82  1.36667e+07   1.3099e+07
18.8028  9.39653e+06   9.34084e+06
18.7947  7.66594e+06   7.75188e+06
18.776  1.36999e+07   1.44163e+07
18.7813  1.4078e+07   1.46483e+07
18.85  2.08696e+07   1.87707e+07
18.7849  1.27093e+07   1.31223e+07
18.8087  1.38702e+07   1.36172e+07
18.7557  1.39732e+07   1.53511e+07
18.7813  7.33338e+06   7.62947e+06
18.7556  1.27944e+07   1.40584e+07
18.7739  1.15565e+07   1.22136e+07
18.8468  1.38402e+07   1.2533e+07
18.7631  75547.7   81689.7
